datetime,value
2014-10-31,2364935013.2
2014-11-03,649824883.9
2014-11-05,1642976545.7
2014-11-06,1542249973.3
2014-11-07,2149012695.8
2014-11-10,1644598823.0
2014-11-11,4061230959.1
2014-11-12,4341352003.8
2014-11-13,5995893380.8
2014-11-14,3957488020.2
2014-11-17,2574613191.0
2014-11-18,1369288244.0
2014-11-19,1004968340.5
2014-11-20,1051960964.8
2014-11-21,1482251445.1
2014-11-24,2960609782.1
2014-11-25,3489949816.0
2014-11-26,3277527905.9
2014-11-27,6257788210.3
2014-11-28,4340250570.3
2014-12-01,2731574829.8
2014-12-02,1477320284.5
2014-12-03,4311619597.9
2014-12-04,8828243728.8
2014-12-05,3919429919.0
2014-12-08,3174581903.8
2014-12-09,3952547431.9
2014-12-10,4505843889.5
2014-12-11,6385858518.5
2014-12-12,5207298858.7
2014-12-15,3850034556.5
2014-12-16,8939377257.0
2014-12-17,4020823921.3
2014-12-18,3842718041.5
2014-12-19,1897761785.5
2014-12-22,6878916135.9
2014-12-23,6418984817.8
2014-12-24,4440732498.7
2014-12-25,8001056877.7
2014-12-26,4981359138.4
2014-12-29,6338879997.1
2014-12-30,4575021462.5
2015-01-05,1158817881.6
2015-01-06,880114229.8
2015-01-08,1060821643.9
2015-01-09,1156089662.0
2015-01-12,1349964055.1
2015-01-13,1257558318.9
2015-01-14,1285648602.4
2015-01-15,2379251286.9
2015-01-16,1747989074.4
2015-01-19,1721712723.6
2015-01-20,1793372140.0
2015-01-21,1337827633.5
2015-01-22,1798173851.6
2015-01-23,1292700579.7
2015-01-26,1277238756.1
2015-01-27,1180353588.9
2015-01-28,2591105644.3
2015-01-29,2899784993.7
2015-01-30,2447380393.9
2015-02-02,1156127172.0
2015-02-03,1076386022.9
2015-02-04,642737559.9
2015-02-05,1464570449.3
2015-02-06,1508217645.1
2015-02-09,1827665611.7
2015-02-10,752061885.0
2015-02-11,1169744159.1
2015-02-12,2295260114.1
2015-02-13,1628422790.5
2015-02-16,1218255903.9
2015-02-17,1875967744.2
2015-02-18,1199833214.1
2015-02-19,1567394411.6
2015-02-20,970053668.3
2015-02-24,1112586668.1
2015-02-25,1880190157.2
2015-02-26,3891355652.6
2015-02-27,2362574131.9
2015-03-02,752003309.3
2015-03-03,1328859753.3
2015-03-04,827905333.6
2015-03-05,1430781123.9
2015-03-06,918981458.4
2015-03-10,1490088892.9
2015-03-11,1069762654.0
2015-03-12,1575966357.9
2015-03-13,1299808833.0
2015-03-16,1511901156.6
2015-03-17,632292497.2
2015-03-18,1219612542.1
2015-03-19,955047527.2
2015-03-20,1409644524.1
2015-03-23,777081551.7
2015-03-24,953569993.8
2015-03-25,946024921.8
2015-03-26,1250385207.1
2015-03-27,901179622.0
2015-03-30,720158363.9
2015-03-31,2062463617.5
2015-04-01,809491454.4
2015-04-02,1306090955.1
2015-04-03,940118993.3
2015-04-06,657131066.3
2015-04-07,2227892677.0
2015-04-08,3407183573.4
2015-04-09,6027542356.1
2015-04-10,2671227946.7
2015-04-13,1454432670.7
2015-04-14,956196097.3
2015-04-15,756830258.3
2015-04-16,1097133950.8
2015-04-17,1409281019.4
2015-04-20,1440302232.0
2015-04-21,796152767.0
2015-04-22,946011272.1
2015-04-23,1638271382.7
2015-04-24,2289261600.6
2015-04-27,1777054867.5
2015-04-28,3618579781.8
2015-04-29,1789493859.5
2015-04-30,2191878286.0
2015-05-05,2560157046.3
2015-05-06,2903223955.7
2015-05-07,2259918134.7
2015-05-08,2227058413.9
2015-05-12,1693778472.2
2015-05-13,4335980381.2
2015-05-14,4600215976.8
2015-05-15,4078816284.2
2015-05-18,3003943156.7
2015-05-19,4800310018.4
2015-05-20,3221328187.7
2015-05-21,6451974362.3
2015-05-22,4968995959.8
2015-05-25,4767280370.2
2015-05-26,6315454003.2
2015-05-27,6278457030.1
2015-05-28,7493794323.5
2015-05-29,5193426966.6
2015-06-01,3325851867.1
2015-06-02,1529856318.2
2015-06-03,2813292436.2
2015-06-04,4653670124.0
2015-06-05,4276556394.7
2015-06-08,4564446265.6
2015-06-09,5666274172.5
2015-06-10,2980199189.7
2015-06-11,1824387705.3
2015-06-15,5394889225.3
2015-06-16,2370836166.5
2015-06-17,1695448653.0
2015-06-18,992658747.6
2015-06-19,2133191561.4
2015-06-22,5107601286.1
2015-06-23,3147885630.6
2015-06-24,2415315090.7
2015-06-25,1970652133.7
2015-06-26,966339013.7
2015-06-29,712106071.4
2015-06-30,2119761696.0
2015-07-01,1739717065.2
2015-07-02,1857061325.0
2015-07-03,1235123071.5
2015-07-06,1590783507.4
2015-07-07,1257442403.2
2015-07-08,1400705725.1
2015-07-09,805426657.2
2015-07-10,1474198480.1
2015-07-13,939866140.9
2015-07-14,1719281772.7
2015-07-15,1326286271.5
2015-07-16,699330251.7
2015-07-17,550006961.2
2015-07-20,904408332.5
2015-07-21,768098751.7
2015-07-22,641174623.0
2015-07-23,530412160.7
2015-07-24,1187224725.8
2015-07-27,823175718.3
2015-07-28,916965562.2
2015-07-29,1208383272.7
2015-07-30,1368375530.4
2015-07-31,1436006839.1
2015-08-03,1120726628.2
2015-08-04,1873432787.0
2015-08-05,1760446550.2
2015-08-06,843068336.7
2015-08-07,474789771.0
2015-08-10,664661489.7
2015-08-11,758079544.7
2015-08-12,1156759042.1
2015-08-13,847336001.5
2015-08-14,618975476.5
2015-08-17,1030114690.3
2015-08-18,721255444.5
2015-08-19,637112411.5
2015-08-20,826444034.1
2015-08-21,767536445.4
2015-08-24,1518965907.8
2015-08-25,1304280273.1
2015-08-26,1228420259.4
2015-08-27,1360444967.6
2015-08-28,802176718.1
2015-08-31,558745478.7
2015-09-01,1953479883.7
2015-09-02,795033295.6
2015-09-03,615799915.5
2015-09-04,879940437.8
2015-09-07,497174644.4
2015-09-08,1356521005.3
2015-09-09,839936841.8
2015-09-10,702289094.0
2015-09-11,685325339.5
2015-09-14,609315961.3
2015-09-15,742361731.8
2015-09-16,1606618121.0
2015-09-17,474502655.6
2015-09-18,1362808866.0
2015-09-21,321460496.8
2015-09-22,679231439.8
2015-09-23,842020842.1
2015-09-24,1795180312.8
2015-09-25,1008944487.6
2015-09-28,531310973.4
2015-09-29,654768115.4
2015-09-30,762080390.9
2015-10-01,298526796.0
2015-10-02,428145447.2
2015-10-05,1200510754.0
2015-10-06,770233115.8
2015-10-07,2448491261.2
2015-10-08,2553834260.7
2015-10-09,2110206740.9
2015-10-12,3004618180.9
2015-10-13,1275213401.7
2015-10-14,769092494.7
2015-10-15,1245447323.5
2015-10-16,1096858544.1
2015-10-19,1285667162.4
2015-10-20,1345642761.1
2015-10-21,910471234.9
2015-10-22,1777217666.7
2015-10-23,1199859744.3
2015-10-26,1716501809.9
2015-10-27,1035797749.6
2015-10-28,1297170492.7
2015-10-29,1245933124.9
2015-10-30,920911238.9
2015-11-02,593955532.3
2015-11-03,1588842819.1
2015-11-05,1492693319.4
2015-11-06,1205324698.2
2015-11-09,520074923.6
2015-11-10,874182404.4
2015-11-11,649137395.8
2015-11-12,454070267.3
2015-11-13,1199688266.1
2015-11-16,648913939.2
2015-11-17,2559162598.9
2015-11-18,1566092176.1
2015-11-19,1185963382.3
2015-11-20,814428569.7
2015-11-23,685393698.3
2015-11-24,2096718237.0
2015-11-25,749862304.3
2015-11-26,895525193.8
2015-11-27,972301528.6
2015-11-30,1290693870.2
2015-12-01,898550161.1
2015-12-02,677304254.3
2015-12-03,447642266.1
2015-12-04,1130515707.2
2015-12-07,666987411.9
2015-12-08,711638443.1
2015-12-09,1867694840.6
2015-12-10,1310839485.0
2015-12-11,881778095.6
2015-12-14,1492878743.4
2015-12-15,1589135599.5
2015-12-16,1064424494.7
2015-12-17,1730394029.8
2015-12-18,1266758868.4
2015-12-21,687781569.9
2015-12-22,547411015.7
2015-12-23,724049554.8
2015-12-24,466248452.1
2015-12-25,540602452.0
2015-12-28,457479554.2
2015-12-29,1431764080.6
2015-12-30,6087497245.4
2016-01-04,561912833.8
2016-01-05,951809503.5
2016-01-06,813672263.7
2016-01-11,816301346.3
2016-01-12,1468535362.2
2016-01-13,1192383825.4
2016-01-14,1462301901.8
2016-01-15,2478050335.6
2016-01-18,1541089480.6
2016-01-19,1990923107.2
2016-01-20,2189823072.3
2016-01-21,1932621480.0
2016-01-22,2986468941.8
2016-01-25,1352834033.4
2016-01-26,804711090.0
2016-01-27,914086806.9
2016-01-28,2214358623.6
2016-01-29,1968629160.4
2016-02-01,1130506758.5
2016-02-02,1124423926.7
2016-02-03,1160297233.8
2016-02-04,1297889491.7
2016-02-05,798494968.6
2016-02-08,782397692.6
2016-02-09,1312282766.0
2016-02-10,851169611.9
2016-02-11,1486425430.1
2016-02-12,701790269.1
2016-02-15,830144747.9
2016-02-16,928426415.6
2016-02-17,945898936.1
2016-02-18,1618748417.7
2016-02-19,964204251.3
2016-02-20,210336102.8
2016-02-22,373120158.6
2016-02-24,947530235.8
2016-02-25,961776217.1
2016-02-26,890411509.5
2016-02-29,899418590.7
2016-03-01,1400027741.4
2016-03-02,680666707.3
2016-03-03,912978357.9
2016-03-04,774174828.4
2016-03-07,1009661087.4
2016-03-09,820022572.6
2016-03-10,1091920678.9
2016-03-11,980021428.5
2016-03-14,730327379.9
2016-03-15,1758657036.6
2016-03-16,597989536.2
2016-03-17,1501290411.3
2016-03-18,1460654909.0
2016-03-21,1073608418.6
2016-03-22,1339788856.2
2016-03-23,848216945.1
2016-03-24,740470227.3
2016-03-25,344060746.5
2016-03-28,758121050.8
2016-03-29,809909290.1
2016-03-30,912393814.4
2016-03-31,2214054606.6
2016-04-01,1319576386.6
2016-04-04,921779973.6
2016-04-05,642332297.1
2016-04-06,725518340.5
2016-04-07,604865655.5
2016-04-08,1006105288.7
2016-04-11,1051634427.8
2016-04-12,1053156783.7
2016-04-13,1195706255.7
2016-04-14,2196151786.6
2016-04-15,1896364107.5
2016-04-18,1616691372.3
2016-04-19,2069909499.9
2016-04-20,1233767504.8
2016-04-21,1662372378.9
2016-04-22,1406896746.9
2016-04-25,1043550244.2
2016-04-26,1088278270.1
2016-04-27,993511366.0
2016-04-28,740903382.1
2016-04-29,1367558414.4
2016-05-04,2525568448.9
2016-05-05,1323739155.8
2016-05-06,928617541.4
2016-05-10,1131870229.8
2016-05-11,1463962285.0
2016-05-12,1034656634.5
2016-05-13,808567090.8
2016-05-16,967987332.6
2016-05-17,1181114788.8
2016-05-18,429374637.1
2016-05-19,653285047.7
2016-05-20,973023754.7
2016-05-23,510884562.9
2016-05-24,618125656.0
2016-05-25,1089848125.6
2016-05-26,1239528213.6
2016-05-27,560897499.2
2016-05-30,446996429.6
2016-05-31,1055216497.5
2016-06-01,863890794.8
2016-06-02,554349023.3
2016-06-03,768689476.4
2016-06-06,643970510.3
2016-06-07,1034024974.4
2016-06-08,1237886579.0
2016-06-09,2024174009.2
2016-06-10,1762463874.5
2016-06-14,1953354733.0
2016-06-15,1355984134.7
2016-06-16,1208072976.9
2016-06-17,918854906.4
2016-06-20,409444250.5
2016-06-21,429961753.4
2016-06-22,625031257.6
2016-06-23,385222320.7
2016-06-24,1102111814.0
2016-06-27,588405648.4
2016-06-28,694321032.0
2016-06-29,510069720.2
2016-06-30,696416826.9
2016-07-01,460311121.5
2016-07-04,302511628.8
2016-07-05,240519654.3
2016-07-06,364847342.5
2016-07-07,1031756740.3
2016-07-08,486660009.8
2016-07-11,463832823.7
2016-07-12,592891482.3
2016-07-13,824365840.1
2016-07-14,457236516.1
2016-07-15,466543647.7
2016-07-18,490868349.9
2016-07-19,1263455334.4
2016-07-20,492292999.0
2016-07-21,270006786.2
2016-07-22,241453072.8
2016-07-25,370824511.2
2016-07-26,315627512.6
2016-07-27,351181414.8
2016-07-28,344327962.0
2016-07-29,544538645.4
2016-08-01,407616342.9
2016-08-02,589619014.6999999
2016-08-03,267484168.2
2016-08-04,763696924.7000003
2016-08-05,863082390.8
2016-08-08,311530709.7
2016-08-09,291275773.8
2016-08-10,399898316.6
2016-08-11,508089781.8
2016-08-12,467716473.0
2016-08-15,1811012881.1
2016-08-16,1847840359.2
2016-08-17,720695811.8
2016-08-18,415983338.5
2016-08-19,1023738148.8
2016-08-22,468038469.4
2016-08-23,447170974.8
2016-08-24,262178416.5
2016-08-25,407174680.5
2016-08-26,702786629.4
2016-08-29,321075953.8
2016-08-30,994747524.1
2016-08-31,872388163.8
2016-09-01,1177666668.8
2016-09-02,4417619257.8
2016-09-05,1579055819.8
2016-09-06,1368576436.2
2016-09-07,1735250441.3
2016-09-08,1210486254.5
2016-09-09,1538579755.1
2016-09-12,2072178024.2
2016-09-13,867996403.0
2016-09-14,910729177.1
2016-09-15,982267720.3
2016-09-16,1271180159.9
2016-09-19,641512231.5
2016-09-20,852253720.0
2016-09-21,624963665.1
2016-09-22,824996066.3
2016-09-23,639313344.1
2016-09-26,864346127.9
2016-09-27,951957106.3
2016-09-28,627070052.2
2016-09-29,521269716.8
2016-09-30,983506065.7
2016-10-03,626215153.0
2016-10-04,303774662.9
2016-10-05,660964679.6
2016-10-06,296084760.4
2016-10-07,505037885.4
2016-10-10,1107438256.9
2016-10-11,802967663.8999993
2016-10-12,664752627.1
2016-10-13,534362154.2
2016-10-14,391240208.5
2016-10-17,443745762.5
2016-10-18,316302084.3
2016-10-19,327667826.8
2016-10-20,674640778.9
2016-10-21,252878140.6
2016-10-24,507632759.8
2016-10-25,816326934.9
2016-10-26,521871440.4
2016-10-27,439757834.2
2016-10-28,397833664.9
2016-10-31,445321215.7
2016-11-01,418359156.7
2016-11-02,376816168.0
2016-11-03,342198802.1
2016-11-07,449639030.7
2016-11-08,286495515.8
2016-11-09,1495398207.2
